id,item1,item2,item3,solution,Solving item,Solving item,Mean solution time (sec),SD,Solving Item,Mean solution time (sec),SD,Solving Item,Mean solution time (sec),SD
1,cottage,swiss,cake,cheese,52,84,3.28,1.25,96,3.96,2.37,064*,10.85,7.04
2,cream,skate,water,ice,34,76,3.42,1.16,92,4.04,1.87,90,4.12,3.58
3,loser,throat,spot,sore,22,61,4.19,1.49,86,5.38,3.02,82,6.31,4.06
4,show,life,row,boat,31,72,4.42,1.44,82,5.67,2.34,79,10.3,7.22
5,night,wrist,stop,watch,38,65,4.33,1.31,82,6,3,97,6.27,5.83
6,duck,fold,dollar,bill,31,69,4.33,1.25,80,6.05,2.82,92,6.58,4.28
7,rocking,wheel,high,chair,37,73,3.98,1.43,80,4.98,2.55,87,5.84,5.36
8,dew,comb,bee,honey,30,66,4.24,1.5,80,5.63,3.15,1000,4.12,2.14
9,fountain,baking,pop,soda,34,71,4.25,1.23,78,6.01,2.69,92,5.5,3.3
10,preserve,ranger,tropical,forest,18,59,4,1.34,76,5.76,2.98,85,9.73,6.08
11,aid,rubber,wagon,band,22,56,4.21,1.5,75,5.41,2.15,69,6.51,4.62
12,flake,mobile,cone,snow,9,47,4.2,1.61,71,6.72,3.1,79,8.68,7.02
13,cracker,fly,fighter,fire,17,45,4.95,1.54,68,5.91,2.54,85,6.12,3.87
14,safety,cushion,point,pin,24,51,3.91,1.58,66,5.83,2.78,74,5,2.84
15,cane,daddy,plum,sugar,19,60,4.43,1.53,66,6.14,3.11,97,5.45,4.92
16,dream,break,light,day,24,56,4.36,1.49,64,5.35,2.56,56,7.91,6.72
17,fish,mine,rush,gold,17,46,4.27,1.09,63,6.48,3.32,74,9.07,6.83
18,political,surprise,line,party,7,26,5.06,1.29,61,7.84,3.43,90,8.79,5.2
19,measure,worm,video,tape,10,45,4.74,1.59,58,6.12,2.9,87,8.36,5.24
20,high,district,house,school/court,18,42,4.36,1.34,55,5.59,2.45,74,8.9,7.75
21,sense,courtesy,place,common,8,33,4.67,1.29,54,6.28,2.89,67,9.24,8.11
22,worm,shelf,end,book,17,49,4.31,1.38,53,5.88,2.9,85,6.76,6.25
23,piece,mind,dating,game,6,19,5.61,1.22,53,7.83,2.41,46,15.34,7.78
24,flower,friend,scout,girl,9,22,5.26,1.47,51,8.06,2.94,67,11.43,7.7
25,river,note,account,bank,2,29,5.64,0.99,50,7.98,2.81,79,10.53,5.88
26,print,berry,bird,blue,10,38,4.91,1.47,49,7.18,3.77,77,13.24,7.94
27,pie,luck,belly,pot,15,38,4.35,0.93,49,5.31,2.03,44,8.68,4.36
28,date,alley,fold,blind,13,40,4.51,1.22,47,6.99,3.33,85,7.06,5.42
29,opera,hand,dish,soap,16,33,5.26,1.41,47,6.54,3.11,62,7.92,6.45
30,cadet,capsule,ship,space,18,34,4.13,1.49,47,5.53,2.78,74,5.46,3.96
31,fur,rack,tail,coat,2,16,5.42,1.35,46,7.89,3.49,79,8,6.76
32,stick,maker,point,match,1,4,5.42,1.23,46,6.65,3.46,21,12.19,8.15
33,hound,pressure,shot,blood,4,32,4.51,1.43,42,6.48,3.94,72,6.98,5.32
34,fox,man,peep,hole,16,41,4.23,1.32,42,5.7,2.61,64,7.06,4.8
35,sleeping,bean,trash,bag,27,68,4.02,1.59,41,5.94,3.11,82,6.8,6.36
36,dust,cereal,fish,bowl,11,24,4.43,1.78,41,6.39,3.29,49,9.53,6.64
37,light,birthday,stick,candle,8,36,5.14,1.65,41,7.97,3.02,46,9.74,6.83
38,food,forward,break,fast,4,24,4.75,1.58,41,7.54,3.24,82,7.73,5.77
39,shine,beam,struck,moon,3,22,4.55,1.8,41,6.08,2.62,62,6.17,4.93
40,peach,arm,tar,pit,15,39,3.86,1.27,41,5,2.39,67,10.01,7.97
41,water,mine,shaker,salt,12,28,4.93,1.43,41,7.45,2.85,85,7.85,3.37
42,palm,shoe,house,tree,12,25,4.84,1.72,41,7.79,3.19,51,13.9,7.9
43,basket,eight,snow,ball,7,25,5.27,1.14,39,9.57,3.57,72,10.87,7.18
44,wheel,hand,shopping,cart,16,31,5.08,1.36,39,7.96,3.33,49,10.65,6.2
45,right,cat,carbon,copy,6,25,4.84,1.78,39,7.45,3.14,46,11.88,7.43
46,home,sea,bed,sick,3,16,5.03,1.56,38,7.63,2.48,†10†,5.83,2.77
47,nuclear,feud,album,family,3,16,4.7,1.49,37,8.29,3.22,85,9.48,5.47
48,sandwich,house,golf,club,4,16,5.31,1.29,36,7.01,2.96,82,9.1,4.95
49,cross,rain,tie,bow,3,18,5.54,1.24,34,8.56,3.25,46,13.75,8.39
