word1,word2,word3,solution,diffP,diffZ,Set
Falling,Actor,Dust,STAR,0.15,-2.38,1
Broken,Clear,Eye,GLASS,0.2,-2.06,1
Skunk,Kings,Boiled,CABBAGE,0.2,-2.06,1
Widow,Bite,Monkey,SPIDER,0.25,-1.75,1
Bass,Complex,Sleep,DEEP,0.3,-1.44,1
Coin,Quick,Spoon,SILVER,0.3,-1.44,1
Gold,Stool,Tender,BAR,0.3,-1.56,1
Time,Hair,Stretch,LONG,0.3,-1.44,1
Cracker,Union,Rabbit,JACK,0.35,-1.13,1
Bald,Screech,Emblem,EAGLE,0.4,-0.81,1
Blood,Music,Cheese,BLUE,0.4,-0.81,1
Manners,Round,Tennis,TABLE,0.4,-0.81,1
Off,Trumpet,Atomic,BLAST,0.4,-0.81,11
Playing,Credit,Report,CARD,0.4,-0.81,1
Rabbit,Cloud,House,WHITE,0.4,-0.81,1
Room,Blood,Salts,BATH,0.4,-0.81,1
Salt,Deep,Foam,SEA,0.4,-0.81,1
Square,Cardboard,Open,BOX,0.4,-0.81,1
Water,Tobacco,Stove,PIPE,0.4,-0.81,1
Ache,Hunter,Cabbage,HEAD,0.45,-0.5,2
Chamber,Staff,Box,MUSIC,0.45,-0.5,2
High,Book,Sour,NOTE,0.45,-0.5,2
Lick,Sprinkle,Mines,SALT,0.45,-0.5,2
Pure,Blue,Fall,WATER,0.45,-0.5,2
Snack,Line,Birthday,PARTY,0.45,-0.5,2
Square,Telephone,Club,BOOK,0.45,-0.5,2
Surprise,Wrap,Care,GIFT,0.45,-0.5,2
Ticket,Shop,Broker,PAWN,0.45,-0.5,2
Barrel,Root,Belly,BEER,0.5,-0.19,2
Blade,Witted,Weary,DULL,0.5,-0.19,2
Cherry,Time,Smell,BLOSSOM,0.5,-0.19,2
Notch,Flight,Spin,TOP,0.5,-0.19,2
Strap,Pocket,Time,WATCH,0.5,-0.19,2
Walker,Main,Sweeper,STREET,0.5,-0.19,2
Wicked,Bustle,Slicker,CITY,0.5,-0.19,2
Chocolate,Fortune,Tin,COOKIE,0.55,0.13,2
Color,Numbers,Oil,PAINT,0.55,0.13,2
Mouse,Sharp,Blue,CHEESE,0.55,0.13,2
Sandwich,Golf,Foot,CLUB,0.55,0.13,2
Silk,Cream,Even,SMOOTH,0.55,0.13,2
Speak,Money,Street,EASY,0.55,0.13,2
Big,Leaf,Shade,TREE,0.6,0.44,3
Envy,Golf,Beans,GREEN,0.6,0.44,3
Hall,Car,Swimming,POOL,0.6,0.44,3
Ink,Herring,Neck,RED,0.6,0.44,3
Measure,Desk,Scotch,TAPE,0.6,0.44,3
Strike,Same,Tennis,MATCH,0.6,0.44,3
Athletes,Web,Rabbit,FOOT,0.65,0.63,3
Board,Magic,Death,BLACK,0.65,0.63,3
Lapse,Vivid,Elephant,MEMORY,0.65,0.63,3
Puss,Tart,Spoiled,SOUR,0.65,0.63,3
Rock,Times,Steel,HARD,0.65,0.63,3
Stop,Petty,Sneak,THIEF,0.65,0.75,3
Thread,Pine,Pain,NEEDLE,0.65,0.75,3
Zone,Still,Noise,QUIET,0.65,0.63,3
Cloth,Sad,Out,SACK,0.7,1.06,3
Cotton,Bathtub,Tonic,GIN,0.7,1.06,3
Foot,Collection,Out,STAMP,0.7,1.06,3
Inch,Deal,Peg,SQUARE,0.7,1.06,3
Jump,Kill,Bliss,JOY,0.7,1.06,3
Magic,Plush,Floor,CARPET,0.7,1.06,3
Note,Dive,Chair,HIGH,0.7,1.06,3
Stalk,Trainer,King,LION,0.7,1.06,3
Bump,Throat,Sum,LUMP,0.75,1.34,3
Shopping,Washer,Picture,WINDOW,0.75,1.34,3
Blank,White,Lines,PAPER,0.8,1.56,3
Stick,Light,Birthday,CANDLE,0.8,1.69,3
Sore,Shoulder,Sweat,COLD,0.9,2.31,3
